País,Competición,Categoría,Temporada,Jornada,Equipo 1,Resultado,Equipo 2
España,La Liga,1ª división,2012-2013,9,Mallorca,0-5,R. Madrid
España,La Liga,1ª división,2012-2013,9,Valladolid,2-2,R. Sociedad
España,La Liga,1ª división,2012-2013,10,Málaga,1-2,Rayo
España,La Liga,1ª división,2012-2013,10,FC Barcelona,3-1,Celta
España,La Liga,1ª división,2012-2013,10,R. Madrid,4-0,Zaragoza
España,La Liga,1ª división,2012-2013,10,Valencia,2-0,Atlético
España,La Liga,1ª división,2012-2013,10,R. Sociedad,0-1,Espanyol
España,La Liga,1ª división,2012-2013,10,Deportivo,1-0,Mallorca
España,La Liga,1ª división,2012-2013,10,Osasuna,0-1,Valladolid
España,La Liga,1ª división,2012-2013,10,Granada,1-2,Athletic
España,La Liga,1ª división,2012-2013,10,Sevilla,0-0,Levante
España,La Liga,1ª división,2012-2013,10,Getafe,2-4,Betis
España,La Liga,1ª división,2012-2013,11,Betis,1-2,Granada
España,La Liga,1ª división,2012-2013,11,Rayo,3-2,Celta
España,La Liga,1ª división,2012-2013,11,Espanyol,0-3,Osasuna
España,La Liga,1ª división,2012-2013,11,Zaragoza,5-3,Deportivo
España,La Liga,1ª división,2012-2013,11,Málaga,1-2,R. Sociedad
España,La Liga,1ª división,2012-2013,11,Valladolid,1-1,Valencia
España,La Liga,1ª división,2012-2013,11,Athletic,2-1,Sevilla
España,La Liga,1ª división,2012-2013,11,Mallorca,2-4,FC Barcelona
España,La Liga,1ª división,2012-2013,11,Atlético,2-0,Getafe
España,La Liga,1ª división,2012-2013,11,Levante,1-2,R. Madrid
España,La Liga,1ª división,2012-2013,12,Osasuna,0-0,Málaga
España,La Liga,1ª división,2012-2013,12,Valencia,2-1,Espanyol
España,La Liga,1ª división,2012-2013,12,FC Barcelona,3-1,Zaragoza
España,La Liga,1ª división,2012-2013,12,R. Madrid,5-1,Athletic
España,La Liga,1ª división,2012-2013,12,Deportivo,0-2,Levante
España,La Liga,1ª división,2012-2013,12,Celta,1-1,Mallorca
España,La Liga,1ª división,2012-2013,12,Getafe,2-1,Valladolid
España,La Liga,1ª división,2012-2013,12,Granada,0-1,Atlético
España,La Liga,1ª división,2012-2013,12,Sevilla,5-1,Betis
España,La Liga,1ª división,2012-2013,12,R. Sociedad,4-0,Rayo
España,La Liga,1ª división,2012-2013,13,R. Sociedad,0-0,Osasuna
España,La Liga,1ª división,2012-2013,13,Rayo,2-0,Mallorca
España,La Liga,1ª división,2012-2013,13,Valladolid,1-0,Granada
España,La Liga,1ª división,2012-2013,13,Málaga,4-0,Valencia
España,La Liga,1ª división,2012-2013,13,Betis,1-0,R. Madrid
España,La Liga,1ª división,2012-2013,13,Espanyol,0-2,Getafe
España,La Liga,1ª división,2012-2013,13,Athletic,1-1,Deportivo
España,La Liga,1ª división,2012-2013,13,Atlético,4-0,Sevilla
España,La Liga,1ª división,2012-2013,13,Levante,0-4,FC Barcelona
España,La Liga,1ª división,2012-2013,13,Zaragoza,0-1,Celta
España,La Liga,1ª división,2012-2013,14,Osasuna,1-0,Rayo
España,La Liga,1ª división,2012-2013,14,Getafe,1-0,Málaga
España,La Liga,1ª división,2012-2013,14,Valencia,2-5,R. Sociedad
España,La Liga,1ª división,2012-2013,14,FC Barcelona,5-1,Athletic
España,La Liga,1ª división,2012-2013,14,R. Madrid,2-0,Atlético
España,La Liga,1ª división,2012-2013,14,Granada,0-0,Espanyol
España,La Liga,1ª división,2012-2013,14,Deportivo,2-3,Betis
España,La Liga,1ª división,2012-2013,14,Celta,1-1,Levante
España,La Liga,1ª división,2012-2013,14,Mallorca,1-1,Zaragoza
España,La Liga,1ª división,2012-2013,14,Sevilla,1-2,Valladolid
España,La Liga,1ª división,2012-2013,15,Espanyol,2-2,Sevilla
España,La Liga,1ª división,2012-2013,15,R. Sociedad,1-1,Getafe
España,La Liga,1ª división,2012-2013,15,Málaga,4-0,Granada
España,La Liga,1ª división,2012-2013,15,Valladolid,2-3,R. Madrid
España,La Liga,1ª división,2012-2013,15,Osasuna,0-1,Valencia
España,La Liga,1ª división,2012-2013,15,Levante,4-0,Mallorca
España,La Liga,1ª división,2012-2013,15,Athletic,1-0,Celta
España,La Liga,1ª división,2012-2013,15,Atlético,6-0,Deportivo
España,La Liga,1ª división,2012-2013,15,Betis,1-2,FC Barcelona
España,La Liga,1ª división,2012-2013,15,Rayo,0-2,Zaragoza
España,La Liga,1ª división,2012-2013,16,Getafe,1-1,Osasuna
España,La Liga,1ª división,2012-2013,16,Mallorca,0-1,Athletic
España,La Liga,1ª división,2012-2013,16,Granada,0-0,R. Sociedad
España,La Liga,1ª división,2012-2013,16,Sevilla,0-2,Málaga
España,La Liga,1ª división,2012-2013,16,Zaragoza,0-1,Levante
España,La Liga,1ª división,2012-2013,16,Valencia,0-1,Rayo
España,La Liga,1ª división,2012-2013,16,R. Madrid,2-2,Espanyol
España,La Liga,1ª división,2012-2013,16,FC Barcelona,4-1,Atlético
España,La Liga,1ª división,2012-2013,16,Deportivo,0-0,Valladolid
España,La Liga,1ª división,2012-2013,16,Celta,0-1,Betis
España,La Liga,1ª división,2012-2013,17,Rayo,3-0,Levante
España,La Liga,1ª división,2012-2013,17,R. Sociedad,2-1,Sevilla
España,La Liga,1ª división,2012-2013,17,Espanyol,2-0,Deportivo
España,La Liga,1ª división,2012-2013,17,Valencia,4-2,Getafe
España,La Liga,1ª división,2012-2013,17,Atlético,1-0,Celta
España,La Liga,1ª división,2012-2013,17,Betis,1-2,Mallorca
España,La Liga,1ª división,2012-2013,17,Valladolid,1-3,FC Barcelona
España,La Liga,1ª división,2012-2013,17,Osasuna,1-2,Granada
España,La Liga,1ª división,2012-2013,17,Málaga,3-2,R. Madrid
España,La Liga,1ª división,2012-2013,17,Athletic,0-2,Zaragoza
España,La Liga,1ª división,2012-2013,18,Zaragoza,1-2,Betis
España,La Liga,1ª división,2012-2013,18,Levante,3-1,Athletic
España,La Liga,1ª división,2012-2013,18,Granada,1-2,Valencia
España,La Liga,1ª división,2012-2013,18,Deportivo,1-0,Málaga
España,La Liga,1ª división,2012-2013,18,Sevilla,1-0,Osasuna
España,La Liga,1ª división,2012-2013,18,Celta,3-1,Valladolid
España,La Liga,1ª división,2012-2013,18,R. Madrid,4-3,R. Sociedad
España,La Liga,1ª división,2012-2013,18,FC Barcelona,4-0,Espanyol
España,La Liga,1ª división,2012-2013,18,Mallorca,1-1,Atlético
España,La Liga,1ª división,2012-2013,18,Rayo,3-1,Getafe
España,La Liga,1ª división,2012-2013,19,Athletic,1-2,Rayo
España,La Liga,1ª división,2012-2013,19,Valladolid,3-1,Mallorca
España,La Liga,1ª división,2012-2013,19,Espanyol,1-0,Celta
